id,name,team,position_1,position_2,position_3,position_4,position_5,position_6,height,weight,left_foot,right_foot,corners,crossing,dribbling,finishing,first_touch,free_kick_taking,heading,long_shots,long_throws,marking,passing,penalty_taking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping_reach,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,handling,kicking,one_on_ones,punching_tendency,reflexes,rushing_out_tendency,throwing
707,Remy Rees-Dottin,Bournemouth,amr,aml,st,,,,1.85,71,17,20,2,5,12,6,9,4,2,5,4,4,7,3,5,6,12,6,1,4,3,6,9,12,4,8,4,6,2,11,12,10,10,10,13,12,7,2,,,,,,,,,,,
712,Matai Akinmboni,Bournemouth,dc,dl,,,,,1.91,78,20,6,8,8,9,6,13,6,11,9,11,13,10,7,12,10,13,12,11,9,9,9,10,5,7,9,12,8,12,12,13,13,9,15,12,14,7,14,,,,,,,,,,,
713,Julio Soler,Bournemouth,dl,wbl,,,,,1.75,64,20,8,7,11,13,12,10,5,13,5,12,11,11,14,10,14,5,10,12,13,9,16,9,9,8,13,9,15,11,15,15,13,12,7,15,16,14,7,,,,,,,,,,,
722,Daniel Adu-Adjei,Bournemouth,st,,,,,,1.84,76,14,20,6,7,9,11,9,7,8,8,5,5,8,10,6,9,11,9,11,10,9,9,6,9,8,10,4,13,6,14,13,10,9,12,12,14,9,12,,,,,,,,,,,
723,Dominic Sadi,Bournemouth,amc,mc,,,,,1.76,62,13,20,6,6,6,8,12,6,4,8,1,6,10,3,8,13,11,9,5,4,7,12,9,13,11,10,8,7,13,12,13,13,7,6,16,12,12,5,,,,,,,,,,,
727,Callan McKenna,Bournemouth,gk,,,,,,1.83,78,10,20,,,,,9,7,,,,,11,3,,9,6,12,15,14,11,9,8,10,6,10,7,6,9,6,6,9,7,11,12,11,11,13,7,9,5,12,9,13,13,12,9,11,11
728,Zain Silcott-Duberry,Bournemouth,wbl,ml,aml,wbr,mr,amr,1.83,73,10,20,9,9,12,8,7,9,4,10,9,8,14,4,5,10,10,6,9,8,10,6,3,14,9,6,6,6,8,8,15,10,7,12,14,15,12,6,,,,,,,,,,,
86,Kristoffer Ajer,Brentford,dc,dm,mc,,,,1.96,92,8,20,6,8,12,10,12,7,15,9,10,14,13,11,14,13,16,14,15,14,13,12,18,7,15,11,13,14,13,15,13,11,13,16,15,14,14,14,,,,,,,,,,,
87,Ethan Brierley,Brentford,dm,mc,,,,,1.69,61,9,20,12,12,9,8,13,10,6,11,5,9,14,9,10,14,6,11,9,14,12,12,13,8,5,10,11,14,14,13,13,12,12,7,11,13,12,9,,,,,,,,,,,
88,Nathan Collins,Brentford,dc,,,,,,1.96,89,8,20,4,6,11,5,11,6,15,5,7,14,12,5,15,12,13,14,17,15,14,13,15,5,14,5,14,15,12,15,13,11,13,15,15,14,14,14,,,,,,,,,,,
89,Mikkel Damsgaard,Brentford,aml,amc,amr,ml,mr,,1.8,71,15,20,13,13,15,12,13,11,6,12,6,7,14,12,7,16,10,12,10,12,13,12,14,16,6,14,7,12,16,12,13,14,11,6,10,13,12,8,,,,,,,,,,,
90,Josh Dasilva,Brentford,mc,,,,,,1.84,71,20,10,8,12,14,13,13,9,11,14,8,11,14,11,12,14,12,14,12,14,14,13,15,14,9,13,11,14,14,14,13,13,14,11,14,12,12,14,,,,,,,,,,,
91,Mark Flekken,Brentford,gk,,,,,,1.95,87,10,20,,,,,12,7,,,,,14,4,,13,11,12,13,15,13,13,16,6,15,7,14,12,12,12,8,15,13,17,12,9,11,15,15,11,14,13,13,15,16,9,13,15,12
92,Rico Henry,Brentford,dl,wbl,,,,,1.7,66,20,7,7,13,14,10,14,7,13,10,9,12,13,8,13,13,12,14,14,14,14,14,15,13,9,12,14,14,14,15,16,14,14,9,14,16,14,12,,,,,,,,,,,
93,Aaron Hickey,Brentford,dl,wbl,dr,wbr,,,1.76,72,20,16,11,13,14,9,12,8,10,13,11,12,12,8,12,13,12,13,15,12,12,12,15,13,8,12,13,15,13,14,14,14,11,11,13,14,12,11,,,,,,,,,,,
94,Vitaly Janelt,Brentford,mc,dm,,,,,1.84,79,20,10,11,13,13,12,14,10,13,13,13,12,14,9,14,13,16,14,16,14,14,12,15,8,12,12,13,15,13,15,12,12,14,12,16,12,15,14,,,,,,,,,,,
95,Mathias Jensen,Brentford,mc,,,,,,1.8,71,15,20,13,13,13,10,14,12,9,11,17,9,14,11,13,14,9,14,13,14,13,14,14,14,13,13,12,14,16,15,12,12,12,10,13,12,13,12,,,,,,,,,,,
96,Kim Ji-soo,Brentford,dc,,,,,,1.92,84,18,20,5,7,8,9,11,7,13,8,8,12,12,7,12,9,9,12,8,12,12,11,13,7,5,8,12,12,12,13,14,9,11,14,12,13,12,13,,,,,,,,,,,
97,Yunus Emre Konak,Brentford,dm,mc,,,,,1.81,77,9,20,6,8,8,6,13,6,13,7,6,15,13,8,16,13,17,15,16,14,14,12,15,6,5,6,11,15,10,15,9,11,14,12,15,9,15,14,,,,,,,,,,,
98,Keane Lewis-Potter,Brentford,aml,amc,amr,ml,mr,,1.7,67,7,20,12,14,14,13,13,12,13,14,9,7,13,13,7,12,12,13,12,14,12,13,17,13,8,13,8,12,13,14,14,14,13,10,14,14,13,11,,,,,,,,,,,
99,Bryan Mbeumo,Brentford,st,amr,aml,ml,,,1.71,70,20,9,13,13,14,12,12,9,11,13,6,6,13,13,6,13,12,13,14,13,13,13,15,14,7,14,8,14,13,16,15,13,12,8,16,15,15,13,,,,,,,,,,,
100,Ben Mee,Brentford,dc,dl,,,,,1.83,74,20,7,5,7,8,7,10,3,15,3,10,14,11,4,15,10,17,14,17,13,14,13,14,7,15,7,13,17,9,13,11,10,10,13,12,11,14,14,,,,,,,,,,,
101,Christian Nørgaard,Brentford,dm,mc,,,,,1.87,76,12,20,9,10,12,9,14,9,14,9,9,14,14,8,14,14,14,15,14,14,15,14,15,12,15,12,15,15,16,16,12,11,13,14,15,12,16,12,,,,,,,,,,,
102,Frank Onyeka,Brentford,mc,dm,,,,,1.83,79,10,20,6,9,12,11,12,7,11,11,8,10,12,8,13,12,14,13,13,12,13,12,17,12,7,13,12,14,13,17,14,13,12,11,14,14,15,13,,,,,,,,,,,
103,Myles Peart-Harris,Brentford,amc,mc,,,,,1.87,84,11,20,11,12,12,13,13,12,11,12,8,6,12,12,9,15,11,11,12,15,14,12,12,13,6,12,7,9,14,10,14,10,13,14,13,13,13,13,,,,,,,,,,,
104,Ethan Pinnock,Brentford,dc,,,,,,1.94,77,20,7,5,7,10,9,12,7,15,6,14,14,13,5,14,13,12,14,15,14,14,14,16,6,13,8,14,13,12,14,12,11,15,17,14,12,14,15,,,,,,,,,,,
105,Mads Roerslev Rasmussen,Brentford,dr,wbr,,,,,1.84,67,9,20,12,13,13,9,13,7,12,9,12,13,14,7,13,14,13,13,14,13,14,14,14,14,9,11,14,14,13,14,14,13,12,12,14,14,14,12,,,,,,,,,,,
106,Kevin Schade,Brentford,amr,st,aml,amc,,,1.83,73,14,20,9,12,14,12,13,6,13,9,3,5,13,11,5,14,12,12,11,10,10,11,13,14,4,13,4,11,11,12,16,13,11,12,12,16,13,9,,,,,,,,,,,
107,Igor Thiago Nascimento Rodrigues,Brentford,st,,,,,,1.91,88,8,20,7,9,10,14,12,8,16,11,9,7,12,11,8,12,11,14,14,11,13,12,11,8,11,14,10,13,10,14,13,11,13,16,14,12,13,16,,,,,,,,,,,
108,Ivan Toney,Brentford,st,,,,,,1.87,87,11,20,4,11,14,16,14,12,15,13,5,4,12,19,7,14,15,12,14,15,13,14,16,13,14,12,9,15,13,15,14,13,14,15,14,15,14,15,,,,,,,,,,,
109,Hákon Valdimarsson,Brentford,gk,,,,,,1.88,80,8,20,,,,,7,9,,,,,8,3,,7,8,12,15,12,14,12,15,1,6,1,13,12,7,11,10,12,12,15,12,10,11,12,12,14,11,5,13,12,13,7,14,15,11
110,Yoane Wissa,Brentford,aml,st,ml,,,,1.76,74,7,20,10,13,14,14,12,11,9,12,8,6,13,13,8,14,12,13,13,13,13,13,13,13,8,14,8,14,13,14,15,14,12,8,14,15,14,12,,,,,,,,,,,
111,Yehor Yarmoliuk,Brentford,mc,amc,,,,,1.8,72,12,20,10,11,12,11,12,10,9,11,7,10,13,10,11,12,13,12,14,11,11,12,15,12,7,12,9,13,13,18,13,12,11,11,15,13,13,9,,,,,,,,,,,
112,Mathias Jorgensen,Brentford,dc,,,,,,1.91,79,12,20,4,4,10,6,12,7,12,5,10,12,13,6,12,12,12,12,13,14,10,10,13,9,14,6,13,12,11,11,11,10,14,14,13,11,12,13,,,,,,,,,,,
314,Fábio Freitas Gouveia Carvalho,Brentford,aml,amc,amr,ml,mc,,1.7,62,10,20,12,10,15,12,14,12,7,11,5,7,14,12,9,15,12,13,11,13,11,12,13,15,7,13,8,12,14,13,15,16,12,7,13,14,12,7,,,,,,,,,,,
338,Sepp van den Berg,Brentford,dc,dr,wbr,,,,1.92,87,9,20,4,10,9,8,12,7,15,7,13,14,13,7,14,13,15,13,15,12,13,13,14,8,10,10,14,14,12,15,13,12,14,17,12,15,13,15,,,,,,,,,,,
602,Ryan Trevitt,Brentford,mc,dm,amc,,,,1.78,73,11,20,11,11,12,11,12,12,9,13,8,8,12,10,9,13,11,12,12,12,13,12,14,12,9,12,9,13,12,14,12,12,11,9,12,12,13,10,,,,,,,,,,,
634,Gustavo Nunes Fernandes Gomes,Brentford,amc,aml,amr,,,,1.67,57,8,20,10,11,15,11,12,11,7,10,7,9,11,5,9,11,8,12,10,11,8,9,13,14,7,13,6,11,10,13,14,13,11,6,12,13,11,6,,,,,,,,,,,
649,Jayden Meghoma,Brentford,dl,,,,,,1.76,71,20,9,6,14,1,9,11,4,11,4,7,10,8,6,15,9,11,13,11,10,8,14,5,5,12,7,12,10,9,10,12,15,7,5,12,14,10,11,,,,,,,,,,,
661,Tony Yogane,Brentford,amr,mr,,,,,1.76,67,9,20,9,11,12,10,10,7,7,10,5,4,10,10,6,11,7,10,9,11,11,10,11,10,4,11,8,13,10,14,14,13,11,10,10,14,10,8,,,,,,,,,,,
674,Paris Maghoma,Brentford,mc,,,,,,1.81,70,10,20,9,10,13,10,14,12,10,10,6,10,14,9,11,15,11,13,11,14,12,13,15,12,9,13,14,13,14,14,12,13,11,10,11,12,12,12,,,,,,,,,,,
705,Benjamin Arthur,Brentford,dc,,,,,,1.86,92,5,20,5,5,10,6,10,8,13,9,6,11,12,7,12,14,13,11,12,12,8,9,12,7,12,10,10,9,12,11,13,12,12,13,12,13,12,13,,,,,,,,,,,
757,Michael Kayode,Brentford,dr,wbr,,,,,1.79,69,10,20,5,13,13,9,12,6,13,7,13,12,13,6,15,12,12,12,11,11,12,12,15,7,8,10,13,13,11,15,15,14,15,12,16,14,14,13,,,,,,,,,,,
759,Julian Eyestone,Brentford,gk,,,,,,1.87,82,20,8,,,,,12,6,,,,,12,2,,11,8,12,14,12,12,12,16,7,3,2,12,12,12,11,16,13,11,12,12,14,11,11,10,11,12,6,12,12,13,6,15,11,11
780,Iwan Morgan,Brentford,st,,,,,,1.82,75,9,20,6,8,11,13,11,7,8,10,5,4,9,11,7,12,13,11,12,12,8,10,14,11,5,13,6,9,11,11,12,11,12,10,13,11,9,10,,,,,,,,,,,
113,Simon Adingra,Brighton,aml,amr,st,,,,1.75,68,8,20,7,12,16,14,14,7,9,8,5,6,12,11,6,14,10,15,11,13,13,10,11,16,8,15,8,13,11,14,16,15,9,8,13,16,13,9,,,,,,,,,,,
114,Benicio Baker-Boaitey,Brighton,amr,aml,,,,,1.71,68,20,8,5,7,12,7,10,6,6,8,4,5,8,10,6,11,5,8,10,8,8,8,13,11,10,8,6,7,8,12,15,12,10,6,7,14,11,8,,,,,,,,,,,
115,Carlos Baleba,Brighton,mc,dm,,,,,1.83,77,20,10,6,12,13,8,14,8,9,12,5,13,14,7,15,13,10,13,12,14,14,13,13,11,7,11,13,15,13,14,13,12,11,13,14,14,14,14,,,,,,,,,,,
116,ValentÃ­n Barco,Brighton,ml,wbl,dl,aml,mc,,1.72,70,20,7,14,14,16,10,14,14,4,14,12,11,14,15,13,16,12,15,15,14,8,15,10,16,2,15,13,15,17,14,14,16,14,8,16,14,11,7,,,,,,,,,,,
118,Amario Cozier-Duberry,Brighton,amr,aml,amc,,,,1.69,61,20,10,10,10,13,10,13,12,3,9,1,3,12,13,4,13,10,9,7,11,8,8,14,14,6,12,4,13,13,13,16,15,11,3,5,14,9,5,,,,,,,,,,,
119,Mahmoud Dahoud,Brighton,mc,dm,,,,,1.78,68,9,20,12,8,15,8,16,11,6,12,6,11,16,10,12,16,14,12,12,14,10,12,12,13,7,12,11,13,15,15,13,15,12,7,11,12,15,10,,,,,,,,,,,
120,Lewis Dunk,Brighton,dc,,,,,,1.91,78,11,20,5,7,9,6,13,9,14,5,6,14,14,10,16,13,13,15,17,15,16,16,14,8,16,7,16,15,13,14,11,11,10,16,13,14,16,14,,,,,,,,,,,
122,Pervis Estupiñán,Brighton,dl,wbl,ml,,,,1.75,73,20,8,9,14,14,11,14,9,10,13,14,11,13,12,15,15,11,12,13,14,13,13,13,14,10,14,12,15,13,17,15,12,13,10,16,16,18,14,,,,,,,,,,,
124,Billy Gilmour,Brighton,mc,dm,,,,,1.7,65,12,20,13,9,12,9,15,13,6,11,8,8,16,15,12,16,11,15,13,16,14,13,15,8,12,14,15,15,16,14,14,13,13,6,14,13,14,7,,,,,,,,,,,
125,Pascal Groß,Brighton,amc,mc,dm,,,,1.81,78,9,20,17,17,13,14,15,14,11,14,6,11,16,14,11,15,13,14,13,15,16,16,15,13,14,17,14,15,16,17,8,12,12,10,17,9,17,11,,,,,,,,,,,
126,Jack Hinshelwood,Brighton,mc,dm,wbr,dr,,,1.76,71,10,20,9,9,9,9,14,7,9,7,7,9,12,8,13,13,15,11,12,13,13,12,12,7,9,11,13,14,11,14,14,11,11,10,8,13,15,9,,,,,,,,,,,
127,Ibrahim Osman,Brighton,aml,st,,,,,1.81,72,7,20,8,10,16,12,15,8,9,9,6,4,12,11,3,16,10,15,9,8,15,9,6,11,4,15,5,12,9,12,17,16,11,9,14,16,9,7,,,,,,,,,,,
128,Igor Julio dos Santos de Paulo,Brighton,dc,dl,wbl,,,,1.85,85,20,10,6,11,11,6,12,6,14,9,12,14,14,7,15,13,15,14,14,12,12,13,14,11,8,9,15,14,11,15,14,12,15,14,15,14,15,16,,,,,,,,,,,
129,João Pedro Junqueira de Jesus,Brighton,st,amc,amr,aml,,,1.82,72,8,20,11,11,15,13,15,11,10,12,6,6,13,17,7,14,15,12,11,13,12,13,15,15,11,15,7,14,14,16,15,14,15,11,14,14,14,13,,,,,,,,,,,
130,Kacper Kozłowski,Brighton,mc,amc,,,,,1.82,75,12,20,7,9,11,10,13,10,8,13,4,7,14,10,9,13,7,12,14,13,12,12,16,10,12,12,3,9,13,12,11,13,12,11,7,11,11,11,,,,,,,,,,,
131,Tariq Lamptey,Brighton,dr,wbr,mr,dl,wbl,,1.64,62,8,20,6,11,14,8,12,6,7,7,6,7,12,9,11,12,10,12,14,13,12,11,14,11,8,11,9,12,10,14,19,16,15,2,8,16,14,6,,,,,,,,,,,
132,Solly March,Brighton,amr,mr,wbr,aml,ml,wbl,1.81,73,20,8,13,15,15,10,14,13,8,14,4,8,13,10,12,14,9,12,11,13,14,15,14,13,8,13,13,16,12,16,14,13,13,10,12,14,15,10,,,,,,,,,,,
133,Adrian Mazilu,Brighton,amr,aml,,,,,1.86,72,20,8,10,11,13,12,13,10,10,11,5,7,12,10,8,12,9,9,8,10,8,8,14,13,5,13,7,11,12,11,15,14,12,9,13,14,9,9,,,,,,,,,,,
134,James Milner,Brighton,mc,dm,wbr,dr,wbl,dl,1.76,70,8,20,13,12,10,11,15,9,9,7,13,13,14,16,13,14,15,13,17,14,14,13,19,9,17,12,13,18,12,17,11,10,13,8,19,10,17,15,,,,,,,,,,,
135,Yankuba Minteh,Brighton,amr,aml,mr,ml,,,1.8,65,20,12,12,11,14,9,13,12,7,9,7,3,11,9,3,13,13,14,10,10,9,8,12,13,5,12,4,11,12,11,17,15,10,8,13,17,10,7,,,,,,,,,,,
136,Mitoma Kaoru,Brighton,aml,ml,,,,,1.78,72,8,20,10,12,19,14,16,9,9,15,8,9,14,12,9,15,6,13,13,15,16,15,13,16,6,16,8,16,15,14,18,15,15,11,14,17,15,8,,,,,,,,,,,
137,Jakub Moder,Brighton,mc,dm,amc,,,,1.88,78,14,20,13,11,11,12,13,13,11,14,7,10,14,12,13,14,9,13,12,13,13,13,14,13,11,14,13,14,13,14,12,11,11,13,13,12,14,13,,,,,,,,,,,
138,Mark O’Mahony,Brighton,st,,,,,,1.79,71,8,20,7,9,10,14,12,8,12,10,8,8,11,12,8,12,12,10,11,12,12,10,13,11,4,12,8,12,9,14,14,13,11,10,13,14,14,11,,,,,,,,,,,
139,Odeluga Offiah,Brighton,dr,wbr,dm,dc,,,1.83,78,10,20,7,10,10,7,10,6,10,10,12,10,10,11,10,10,10,9,9,10,10,10,13,5,7,9,10,13,9,13,15,12,12,13,13,16,14,12,,,,,,,,,,,
140,Cameron Peupion,Brighton,aml,amr,,,,,1.75,67,8,20,8,11,12,10,11,8,8,9,7,4,11,10,8,11,9,8,7,10,12,10,15,10,6,10,8,13,11,13,15,16,13,9,7,13,14,9,,,,,,,,,,,
141,Jeremy Sarmiento Morante,Brighton,aml,amr,,,,,1.78,71,10,20,8,11,16,13,13,8,10,13,6,6,12,6,7,14,9,11,11,13,11,9,13,16,7,12,7,10,11,14,15,14,15,10,13,15,14,9,,,,,,,,,,,
142,Jason Steele,Brighton,gk,,,,,,1.88,79,14,20,,,,,12,6,,,,,16,4,,13,9,11,13,17,12,14,14,3,14,4,13,15,15,14,13,13,10,16,10,12,13,11,12,12,12,3,13,14,13,6,16,11,15
143,Deniz Undav,Brighton,st,amc,,,,,1.79,86,12,20,6,8,13,17,14,13,15,12,6,6,13,12,9,13,16,15,15,13,12,13,17,12,13,15,8,12,13,16,12,12,15,11,13,13,13,15,,,,,,,,,,,
144,Jan Paul van Hecke,Brighton,dc,,,,,,1.89,78,8,20,4,7,13,6,13,5,15,5,7,15,14,7,17,14,17,15,15,16,16,14,16,8,12,6,15,14,12,13,12,13,14,15,14,13,14,14,,,,,,,,,,,
145,Joël Veltman,Brighton,dr,dc,,,,,1.82,73,8,20,7,11,10,8,13,4,14,5,9,14,13,7,16,13,17,15,16,14,16,15,16,9,15,11,17,14,11,14,12,12,11,13,16,12,14,12,,,,,,,,,,,
146,Bart Verbruggen,Brighton,gk,,,,,,1.93,75,10,20,,,,,13,7,,,,,16,3,,14,7,11,13,15,11,12,14,12,12,2,11,14,14,12,12,12,12,14,15,12,12,9,14,15,14,6,13,15,12,14,14,12,12
147,Adam Webster,Brighton,dc,,,,,,1.9,77,17,20,5,6,13,6,13,5,14,7,6,13,14,7,15,13,12,13,14,14,13,14,14,7,14,8,14,13,13,14,12,11,10,15,13,15,14,13,,,,,,,,,,,
148,Danny Welbeck,Brighton,st,amr,aml,,,,1.85,73,10,20,5,8,13,14,14,4,14,9,3,7,13,10,8,14,11,14,14,14,15,16,14,14,11,16,9,15,14,16,14,12,12,14,15,15,14,14,,,,,,,,,,,
149,Mats Wieffer,Brighton,dm,mc,dc,,,,1.88,81,12,20,12,7,11,6,13,11,13,12,7,11,13,4,10,13,8,14,14,14,14,14,14,9,16,13,11,16,14,16,13,12,14,15,14,13,15,11,,,,,,,,,,,
595,Brajan Gruda,Brighton,amr,amc,aml,mr,,,1.78,70,20,8,13,10,17,12,15,14,12,13,17,7,13,14,7,16,12,11,9,12,11,10,14,16,8,12,7,12,13,12,16,16,11,10,12,15,13,9,,,,,,,,,,,
600,Yasin Ayari,Brighton,mc,dm,amc,,,,1.72,68,10,20,11,13,14,10,15,11,9,13,8,9,14,9,13,15,12,13,13,14,12,12,14,12,7,13,11,14,13,13,14,14,12,8,11,13,13,8,,,,,,,,,,,
601,Andrew Moran,Brighton,amc,mc,amr,aml,,,1.78,73,9,20,11,11,14,10,14,11,7,11,4,5,14,10,8,15,10,11,9,13,10,10,10,15,7,12,8,12,14,12,14,15,13,8,13,13,12,8,,,,,,,,,,,
615,Carl Rushworth,Brighton,gk,,,,,,1.88,83,20,8,,,,,10,9,,,,,9,4,,10,10,13,13,11,11,10,7,2,9,1,14,11,8,11,12,14,12,14,12,10,12,12,13,11,10,8,16,11,13,10,15,11,17
618,Georginio Rutter,Brighton,st,amc,amr,,,,1.82,77,20,16,6,9,15,11,13,7,12,12,5,5,13,12,6,15,8,13,11,13,9,13,11,16,8,12,7,11,14,11,15,14,11,11,13,15,12,12,,,,,,,,,,,
628,Ferdi Kadioglu,Brighton,wbl,dl,wbr,dr,,,1.74,68,9,20,10,13,14,10,12,11,7,12,8,10,13,10,12,14,14,12,12,12,12,12,15,14,12,12,12,14,13,15,15,13,13,7,16,14,16,11,,,,,,,,,,,
629,Matt O'Riley,Brighton,mc,amc,dm,,,,1.87,77,20,13,13,12,13,13,16,8,11,10,5,8,14,8,10,15,12,14,8,15,12,14,14,13,9,14,11,13,15,12,12,11,14,14,14,12,13,12,,,,,,,,,,,
663,Imari Samuels,Brighton,dl,wbl,dr,wbr,,,1.87,73,20,10,11,9,8,7,12,6,9,7,11,10,10,10,10,11,6,8,8,11,12,7,12,10,10,10,11,13,9,14,14,12,11,12,14,15,12,9,,,,,,,,,,,
668,Killian Cahill,Brighton,gk,,,,,,1.87,74,11,20,,,,,2,4,,,,,10,2,,1,9,7,11,7,13,14,6,3,8,1,14,9,7,8,14,6,9,12,15,10,3,7,12,10,13,9,13,13,12,10,14,8,9
681,Ruairi McConville,Brighton,dc,,,,,,1.89,79,11,20,6,2,3,1,8,6,14,8,5,15,8,7,13,8,9,10,10,10,12,14,11,7,1,7,8,9,2,10,15,15,10,17,11,15,9,8,,,,,,,,,,,
685,Jacob Slater,Brighton,dl,wbl,,,,,1.79,71,20,10,7,11,8,5,12,4,10,5,9,11,12,1,11,12,9,9,11,10,13,14,8,7,1,5,9,11,10,10,13,11,10,6,18,10,9,8,,,,,,,,,,,
714,Diego Gómez,Brighton,mc,dm,,,,,1.83,88,12,20,12,10,13,12,14,12,12,13,8,11,14,10,13,13,12,10,12,14,13,13,12,11,9,13,10,15,14,17,14,12,14,11,13,13,10,13,,,,,,,,,,,
758,Joe Knight,Brighton,mc,amc,,,,,1.78,68,11,20,7,6,11,9,14,7,7,8,1,5,12,6,11,12,14,10,8,8,9,13,13,11,2,10,5,10,9,13,10,11,14,5,11,13,8,5,,,,,,,,,,,
763,Eiran Cashin,Brighton,dc,,,,,,1.83,73,20,11,4,6,12,6,10,6,15,4,12,14,12,3,14,11,16,14,18,12,11,9,14,5,12,10,13,12,12,14,10,11,9,13,15,9,14,15,,,,,,,,,,,
150,Andrey Nascimento dos Santos,Chelsea,mc,dm,,,,,1.81,72,8,20,8,9,13,11,13,9,12,12,9,14,14,9,12,14,13,13,12,12,13,12,13,15,10,12,13,13,13,13,13,14,13,11,14,13,13,13,,,,,,,,,,,
151,Ângelo Gabriel Borges Damaceno,Chelsea,amr,st,,,,,1.73,67,20,10,8,10,16,9,12,8,8,9,8,8,13,10,9,13,9,13,7,12,13,13,13,16,10,12,7,11,12,12,14,16,13,9,13,13,12,13,,,,,,,,,,,
153,Benoît Badiashile,Chelsea,dc,,,,,,1.94,75,20,8,3,5,9,6,13,4,17,7,8,15,13,7,15,12,10,14,15,16,12,14,15,9,11,6,14,14,11,13,14,11,15,17,15,15,15,16,,,,,,,,,,,
154,Lucas Bergström,Chelsea,gk,,,,,,2.04,84,8,20,,,,,8,7,,,,,6,2,,8,6,8,11,11,12,10,13,3,9,3,8,9,11,10,10,13,12,20,8,10,7,10,19,10,19,2,11,14,13,7,15,8,13
155,Marcus Bettinelli,Chelsea,gk,,,,,,1.93,92,7,20,,,,,9,8,,,,,12,4,,8,11,14,14,10,13,11,18,3,13,2,14,14,6,11,10,12,12,16,8,6,11,13,15,12,12,5,11,13,12,14,13,11,12
157,Moisés Caicedo Corozo,Chelsea,mc,dm,,,,,1.78,73,8,20,5,8,14,11,14,8,9,12,4,13,15,8,18,14,13,14,15,15,15,15,14,14,9,13,15,15,14,16,16,16,12,9,18,14,16,12,,,,,,,,,,,
158,Cesare Casadei,Chelsea,mc,amc,,,,,1.85,77,12,20,8,8,12,13,13,12,15,15,5,7,13,13,9,13,9,13,11,14,10,12,14,12,10,15,9,10,14,13,14,11,12,14,13,11,12,9,,,,,,,,,,,
159,Trevoh Chalobah,Chelsea,dc,dm,dr,,,,1.92,85,12,20,5,10,9,7,12,9,12,8,5,13,11,5,14,12,12,13,13,14,16,14,13,12,8,7,13,14,11,14,13,10,13,14,15,14,13,13,,,,,,,,,,,
161,Carney Chukwuemeka,Chelsea,mc,amc,,,,,1.87,80,13,20,5,6,13,11,14,5,11,11,6,8,13,7,10,14,10,12,14,15,10,12,17,14,9,9,10,9,11,12,15,13,12,11,12,14,13,13,,,,,,,,,,,
162,Levi Colwill,Chelsea,dc,dl,,,,,1.87,88,20,10,12,8,12,6,14,8,14,3,10,14,15,5,14,15,10,13,11,17,13,15,11,7,13,12,15,13,13,15,16,13,16,16,14,16,15,14,,,,,,,,,,,
163,Marc Cucurella Saseta,Chelsea,dl,wbl,ml,dc,,,1.73,71,20,8,10,13,11,9,14,7,6,8,12,12,12,7,12,14,15,16,14,15,14,13,18,10,13,15,12,14,14,14,16,15,14,8,13,13,15,12,,,,,,,,,,,
164,David Datro Fofana,Chelsea,amr,st,aml,,,,1.81,76,10,20,9,8,15,12,12,9,12,10,6,6,11,13,6,12,13,12,9,11,9,9,13,16,7,12,7,10,11,12,16,14,14,12,13,16,12,13,,,,,,,,,,,
165,Deivid Washington de Souza Eugênio,Chelsea,st,,,,,,1.84,77,12,20,5,9,11,14,11,7,14,10,6,7,12,12,5,14,7,10,7,14,12,11,13,11,11,13,10,12,12,10,13,12,10,13,12,13,10,9,,,,,,,,,,,
166,Kiernan Dewsbury-Hall,Chelsea,mc,amc,,,,,1.76,72,20,10,13,12,13,14,14,14,10,11,5,9,15,10,12,13,13,13,12,14,12,13,15,13,11,14,12,15,15,16,12,15,12,10,18,11,16,12,,,,,,,,,,,
168,Enzo Fernández,Chelsea,mc,dm,amc,,,,1.78,70,12,20,12,12,13,12,15,9,7,16,8,10,16,14,14,16,15,14,13,14,13,14,15,14,12,17,13,15,17,14,12,14,16,10,17,12,16,13,,,,,,,,,,,
169,Conor Gallagher,Chelsea,mc,amc,dm,,,,1.82,77,12,20,12,12,13,14,13,13,8,12,6,9,13,7,13,13,17,11,15,13,13,14,17,12,11,14,12,15,13,19,15,14,11,10,16,13,17,11,,,,,,,,,,,
170,Alfie Gilchrist,Chelsea,dc,,,,,,1.83,78,11,20,2,8,5,7,10,6,15,4,10,13,9,9,14,8,14,13,17,9,14,13,11,3,16,12,14,15,8,15,15,9,11,11,12,14,10,11,,,,,,,,,,,
171,Malo Gusto,Chelsea,dr,wbr,mc,,,,1.79,67,7,20,6,14,10,6,12,6,10,9,10,12,12,6,13,13,13,12,14,12,9,13,14,12,8,14,11,14,11,15,17,14,12,10,15,16,15,12,,,,,,,,,,,
172,Reece James,Chelsea,dr,wbr,dc,,,,1.79,91,10,20,13,16,11,12,14,14,14,11,9,13,12,12,14,15,16,13,18,16,14,16,17,12,13,12,13,15,11,16,15,12,19,10,14,14,14,18,,,,,,,,,,,
