name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,defensive_contribution,GW
Merlin Röhl,MID,Everton,,0,0,12,1,0.0,246,0.06,0.06,0.00,1.96,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,8,0,0,0,0,1,0,5179,1,0,2,0.0,3,0,0,0,50,True,0,9,1
Hayden Hackney,MID,Everton,,0,0,16,1,0.0,247,0.01,0.02,0.01,1.62,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,78,FALSE,8,0,0,0,0,1,0,24410,1,0,2,0.0,3,0,0,0,55,True,0,7,1
Norberto Bercique Gomes Betuncal,FWD,Everton,,0,0,3,0,0.0,248,0.00,0.05,0.05,0.34,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,11,FALSE,8,0,0,0,0,1,0,249740,0,0,2,0.0,1,0,0,0,55,True,0,0,1
Thierno Barry,FWD,Everton,,0,2,37,1,0.0,249,0.09,0.54,0.45,1.62,3,0,1,0.0,0.0,2026-08-22T14:00:00Z,78,FALSE,8,0,0,0,0,1,0,117327,1,0,2,0.0,8,0,0,0,55,True,0,3,1
Bernd Leno,GK,Fulham,,0,0,11,0,0.0,250,0.00,0.00,0.00,2.24,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,90,FALSE,6,0,0,0,0,1,3,272035,1,3,2,0.0,2,0,0,0,45,True,0,0,1
Benjamin Lecomte,GK,Fulham,,0,0,0,0,0.0,251,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,107540,0,3,2,0.0,0,0,0,0,40,True,0,0,1
Alfie McNally,GK,Fulham,,0,0,0,0,0.0,252,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,13569,0,3,2,0.0,0,0,0,0,40,True,0,0,1
Joachim Andersen,DEF,Fulham,,0,0,0,0,0.0,253,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,3342,0,3,2,0.0,0,0,0,0,50,True,0,0,1
Antonee Robinson,DEF,Fulham,,0,0,4,0,0.0,254,0.04,0.17,0.13,2.21,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,81,FALSE,6,0,0,0,0,1,0,148513,1,3,2,0.0,1,0,0,0,45,True,0,7,1
Jorge Cuenca Barreno,DEF,Fulham,,0,0,7,0,0.0,255,0.03,0.03,0.00,2.24,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,90,FALSE,6,0,0,0,0,1,0,1787,1,3,2,0.0,3,0,0,0,45,True,0,10,1
Kenny Tete,DEF,Fulham,,0,0,0,0,0.0,256,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,24681,0,3,2,0.0,0,0,0,0,45,True,0,0,1
Calvin Bassey,DEF,Fulham,,0,0,1,0,0.0,257,0.02,0.04,0.02,2.24,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,90,FALSE,6,0,0,0,0,1,0,64737,1,3,2,0.0,0,0,0,0,45,True,1,4,1
Timothy Castagne,DEF,Fulham,,2,0,21,0,0.0,258,0.18,0.27,0.09,2.24,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,90,FALSE,6,0,0,0,0,1,0,26346,1,3,2,0.0,6,0,0,0,45,True,1,6,1
Alex Iwobi,MID,Fulham,,0,0,17,0,0.0,261,0.04,0.04,0.00,2.24,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,90,FALSE,6,0,0,0,0,1,0,88413,1,3,2,0.0,2,0,0,0,55,True,0,10,1
Emile Smith Rowe,MID,Fulham,,0,0,0,0,0.0,262,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,35036,0,3,2,0.0,0,0,0,0,55,True,0,0,1
Kevin Santos Lopes de Macedo,MID,Fulham,,0,0,2,0,0.0,263,0.01,0.01,0.00,0.03,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,17,FALSE,6,0,0,0,0,1,0,5144,0,3,2,0.0,1,0,0,0,55,True,0,3,1
Oscar Bobb,MID,Fulham,,0,0,10,0,0.0,264,0.26,0.26,0.00,2.21,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,66,FALSE,6,0,0,0,0,1,0,26829,1,3,2,0.0,2,0,0,0,55,True,0,6,1
Sander Berge,MID,Fulham,,0,0,14,0,0.0,265,0.03,0.06,0.03,2.21,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,72,FALSE,6,0,0,0,0,1,0,38470,1,3,2,0.0,2,0,0,0,50,True,0,4,1
Tom Cairney,MID,Fulham,,0,0,0,0,0.0,266,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,464,0,3,2,0.0,0,0,0,0,50,True,0,0,1
Josh King,MID,Fulham,,0,0,34,0,0.0,268,0.04,0.21,0.17,2.24,10,3,1,0.0,0.0,2026-08-24T19:00:00Z,90,FALSE,6,0,0,0,0,1,0,14215,1,3,2,0.0,7,0,0,0,55,True,0,8,1
Ryan Sessegnon,DEF,Fulham,,0,0,7,0,0.0,269,0.00,0.03,0.03,0.03,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,17,FALSE,6,0,0,0,0,1,0,39784,0,3,2,0.0,1,0,0,0,45,True,0,1,1
Harrison Reed,MID,Fulham,,0,0,0,0,0.0,270,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,139875,0,3,2,0.0,0,0,0,0,45,True,0,0,1
Rodrigo Muniz Carvalho,FWD,Fulham,,0,0,6,0,0.0,271,0.00,0.02,0.02,0.03,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,8,FALSE,6,0,0,0,0,1,0,52452,0,3,2,0.0,1,0,0,0,55,True,0,1,1
Jonah Kusi-Asare,FWD,Fulham,,0,0,0,0,0.0,272,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,669004,0,3,2,0.0,0,0,0,0,45,True,0,0,1
Gonzalo García,FWD,Fulham,,0,0,33,0,0.0,569,0.01,0.74,0.73,2.24,10,3,1,0.0,0.0,2026-08-24T19:00:00Z,90,FALSE,6,0,0,0,0,1,0,180799,1,3,2,0.0,6,0,0,0,60,True,0,2,1
César Palacios,MID,Fulham,,0,0,10,0,0.0,570,0.01,0.17,0.16,2.21,10,3,0,0.0,0.0,2026-08-24T19:00:00Z,72,FALSE,6,0,0,0,0,1,0,18267,1,3,2,0.0,2,0,0,0,55,True,0,4,1
Shea Charles,MID,Fulham,,0,0,5,0,0.0,580,0.00,0.00,0.00,0.03,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,23,FALSE,6,0,0,0,0,1,0,8110,0,3,2,0.0,1,0,0,0,50,True,0,3,1
Luc De Fougerolles,DEF,Fulham,,0,0,0,0,0.0,610,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,FALSE,6,0,0,0,0,1,0,0,0,3,2,0.0,0,0,0,0,40,True,0,0,1
Dillon Phillips,GK,Hull City,,0,0,0,0,0.0,273,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,138196,0,0,2,0.0,0,0,0,0,40,True,0,0,1
Jack Butland,GK,Hull City,,0,0,0,0,0.0,274,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,11096,0,0,2,0.0,0,0,0,0,45,True,0,0,1
Harvey Cartwright,GK,Hull City,,0,0,0,0,0.0,275,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,1022,0,0,2,0.0,0,0,0,0,40,True,0,0,1
Thimothée Lo-Tutala,GK,Hull City,,0,0,0,0,0.0,276,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,3519,0,0,2,0.0,0,0,0,0,40,True,0,0,1
John Egan,DEF,Hull City,,0,0,27,1,0.0,277,0.00,0.00,0.00,1.83,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,90,FALSE,16,0,0,0,0,1,0,134746,1,0,2,0.0,8,0,0,0,40,True,0,21,1
Charlie Hughes,DEF,Hull City,,0,0,0,0,0.0,278,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,12660,0,0,2,0.0,0,0,0,0,40,True,0,0,1
Semi Ajayi,DEF,Hull City,,0,2,39,1,0.0,279,0.00,0.52,0.52,0.86,4,0,1,0.0,0.0,2026-08-22T11:30:00Z,63,FALSE,16,0,0,0,0,1,0,83256,1,0,2,0.0,14,0,0,0,40,True,0,7,1
Lewie Coyle,DEF,Hull City,,0,0,23,1,0.0,280,0.01,0.01,0.00,1.16,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,69,FALSE,16,0,0,0,0,1,0,59278,1,0,2,0.0,6,0,0,0,40,True,0,2,1
Cody Drameh,DEF,Hull City,,0,0,4,0,0.0,281,0.00,0.05,0.05,0.67,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,20,FALSE,16,0,0,0,0,1,0,1668,0,0,2,0.0,1,0,0,0,40,True,0,3,1
Ryan Giles,DEF,Hull City,,0,0,24,1,0.0,282,0.07,0.09,0.02,1.76,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,84,FALSE,16,0,0,0,0,1,0,67208,1,0,2,0.0,6,0,0,0,40,True,0,6,1
Matty Jacob,DEF,Hull City,,0,0,0,0,0.0,283,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,1251,0,0,2,0.0,0,0,0,0,40,True,0,0,1
Cathal McCarthy,DEF,Hull City,,0,0,0,0,0.0,284,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,7616,0,0,2,0.0,0,0,0,0,40,True,0,0,1
Paddy McNair,DEF,Hull City,,0,0,3,0,0.0,285,0.00,0.00,0.00,0.96,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,26,FALSE,16,0,0,0,0,1,0,8697,0,0,2,0.0,1,0,0,0,40,True,0,2,1
Mohamed Belloumi,MID,Hull City,,0,0,8,1,0.0,286,0.03,0.08,0.05,1.83,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,90,FALSE,16,0,0,0,0,1,0,40446,1,0,2,0.0,3,0,0,0,50,True,0,10,1
Liam Millar,MID,Hull City,,0,0,2,0,0.0,287,0.00,0.00,0.00,0.67,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,19,FALSE,16,0,0,0,0,1,0,6086,0,0,2,0.0,0,0,0,0,50,True,1,3,1
Kieran Dowell,MID,Hull City,,0,0,0,0,0.0,288,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,35457,0,0,2,0.0,0,0,0,0,45,True,0,0,1
Matt Crooks,MID,Hull City,,0,0,9,1,0.0,289,0.00,0.00,0.00,1.83,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,90,FALSE,16,0,0,0,0,1,0,57929,1,0,2,0.0,2,0,0,0,45,True,1,9,1
Regan Slater,MID,Hull City,,1,0,20,1,0.0,290,0.44,0.44,0.00,1.83,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,90,FALSE,16,0,0,0,0,1,0,272889,1,0,2,0.0,6,0,0,0,45,True,0,3,1
Eliot Matazo,MID,Hull City,,0,0,0,0,0.0,291,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,600,0,0,2,0.0,0,0,0,0,45,True,0,0,1
Abdülkadir Ömür,MID,Hull City,,0,0,0,0,0.0,292,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,1546,0,0,2,0.0,0,0,0,0,50,True,0,0,1
Abu Kamara,MID,Hull City,,0,0,0,0,0.0,293,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,555,0,0,2,0.0,0,0,0,0,50,True,0,0,1
Óscar Zambrano,MID,Hull City,,0,0,0,0,0.0,294,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,10995,0,0,2,0.0,0,0,0,0,45,True,0,0,1
Oli McBurnie,FWD,Hull City,,1,0,21,1,0.0,295,0.01,0.17,0.16,1.83,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,90,FALSE,16,0,0,0,0,1,0,113765,1,0,2,0.0,5,0,0,0,55,True,0,5,1
David Akintola,MID,Hull City,,0,0,0,0,0.0,296,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,3400,0,0,2,0.0,0,0,0,0,50,True,0,0,1
Darko Gyabi,MID,Hull City,,0,0,0,0,0.0,297,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,2774,0,0,2,0.0,0,0,0,0,45,True,0,0,1
Enis Destan,FWD,Hull City,,0,0,0,0,0.0,298,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,40958,0,0,2,0.0,0,0,0,0,45,True,0,0,1
Mason Burstow,FWD,Hull City,,0,0,0,0,0.0,299,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,6401,0,0,2,0.0,0,0,0,0,45,True,0,0,1
Joe Gelhardt,MID,Hull City,,0,0,0,0,0.0,340,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,1365,0,0,2,0.0,0,0,0,0,50,True,0,0,1
Matt Targett,DEF,Hull City,,0,0,3,0,0.0,556,0.00,0.00,0.00,0.07,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,5,FALSE,16,0,0,0,0,1,0,218902,0,0,2,0.0,1,0,0,0,40,True,0,0,1
Hidemasa Morita,MID,Hull City,,0,0,0,0,0.0,563,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,2175,0,0,2,0.0,0,0,0,0,50,True,0,0,1
Konstantinos Tzolakis,GK,Hull City,,0,3,41,1,0.0,572,0.00,0.00,0.00,1.83,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,90,FALSE,16,0,0,0,0,1,5,48305,1,0,2,0.0,10,0,0,0,45,True,0,0,1
Jens Hjertø-Dahl,MID,Hull City,,0,0,0,0,0.0,574,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,7500,0,0,2,0.0,0,0,0,0,50,True,0,0,1
Elliot Stroud,MID,Hull City,,0,0,11,1,0.0,576,0.03,0.03,0.00,1.16,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,70,FALSE,16,0,0,0,0,1,0,6733,1,0,2,0.0,3,0,0,0,50,True,0,6,1
Lucas Herrington,DEF,Hull City,,0,0,4,0,0.0,585,0.00,0.00,0.00,0.96,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,26,FALSE,16,0,0,0,0,1,0,53978,0,0,2,0.0,1,0,0,0,40,True,0,4,1
Nobel Mendy,DEF,Hull City,,0,1,35,1,0.0,586,0.00,0.28,0.28,0.86,4,0,1,0.0,0.0,2026-08-22T11:30:00Z,63,FALSE,16,0,0,0,0,1,0,92688,1,0,2,0.0,15,0,0,0,40,True,0,13,1
Lucas Gourna-Douath,MID,Hull City,,0,0,0,0,0.0,589,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,FALSE,16,0,0,0,0,1,0,2352,0,0,2,0.0,0,0,0,0,50,True,0,0,1
Issa Diop,DEF,Ipswich Town,,0,0,7,0,0.0,259,0.01,0.01,0.00,0.66,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,20,0,0,0,0,1,0,1668644,1,1,2,0.0,2,0,0,0,40,True,0,5,1
Saša Lukić,MID,Ipswich Town,,1,0,22,0,0.0,267,0.02,0.02,0.00,0.66,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,20,0,0,0,0,1,0,10816,1,1,2,0.0,5,0,0,0,50,True,0,6,1
Christian Walton,GK,Ipswich Town,,0,0,0,0,0.0,300,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,47085,0,1,2,0.0,0,0,0,0,45,True,0,0,1
Alex Palmer,GK,Ipswich Town,,0,0,0,0,0.0,301,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,426453,0,1,2,0.0,0,0,0,0,40,True,0,0,1
David Button,GK,Ipswich Town,,0,0,0,0,0.0,302,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,40566,0,1,2,0.0,0,0,0,0,40,True,0,0,1
Cédric Kipré,DEF,Ipswich Town,,0,0,0,0,0.0,303,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,57775,0,1,2,0.0,0,0,0,0,40,True,0,0,1
Dara O'Shea,DEF,Ipswich Town,,0,0,16,0,0.0,304,0.16,0.16,0.00,0.66,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,20,0,0,0,0,1,0,313565,1,1,2,0.0,4,0,0,0,40,True,0,18,1
Leif Davis,DEF,Ipswich Town,,0,0,10,0,0.0,305,0.01,0.01,0.00,0.66,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,20,0,0,0,0,1,0,479363,1,1,2,0.0,2,0,0,0,40,True,0,7,1
Jacob Greaves,DEF,Ipswich Town,,0,0,12,0,0.0,306,0.00,0.00,0.00,0.66,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,20,0,0,0,0,1,0,134129,1,1,2,0.0,2,0,0,0,40,True,0,7,1
Ben Johnson,DEF,Ipswich Town,,0,0,0,0,0.0,307,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,10016,0,1,2,0.0,0,0,0,0,40,True,0,0,1
Darnell Furlong,DEF,Ipswich Town,,0,0,0,0,0.0,308,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,56130,0,1,2,0.0,0,0,0,0,40,True,0,0,1
Marcelino Núñez,MID,Ipswich Town,,0,0,26,0,0.0,309,0.03,0.06,0.03,0.63,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,79,FALSE,20,0,0,0,0,1,0,11544,1,1,2,0.0,4,0,0,0,50,True,0,12,1
Azor Matusiwa,MID,Ipswich Town,,0,0,0,0,0.0,310,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,430,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Wes Burns,MID,Ipswich Town,,0,0,0,0,0.0,311,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,562,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Jack Taylor,MID,Ipswich Town,,0,0,0,0,0.0,312,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,4505,0,1,2,0.0,0,0,0,0,45,True,0,0,1
Jack Clarke,MID,Ipswich Town,,0,1,27,0,0.0,313,0.00,0.10,0.10,0.03,5,0,1,0.0,0.0,2026-08-22T14:00:00Z,19,FALSE,20,0,0,0,0,1,0,24135,0,1,2,0.0,7,0,0,0,55,True,0,2,1
Chiedozie Ogbene,MID,Ipswich Town,,0,0,0,0,0.0,314,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,1539,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Abdul Fatawu,MID,Ipswich Town,,0,0,22,0,0.0,315,0.41,0.41,0.00,0.63,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,65,FALSE,20,0,0,0,0,1,0,21235,1,1,2,0.0,2,0,0,0,55,True,0,7,1
Emersonn Correia da Silva,FWD,Ipswich Town,,0,3,41,0,0.0,316,0.06,0.88,0.82,0.63,5,1,1,0.0,0.0,2026-08-22T14:00:00Z,65,FALSE,20,0,0,0,0,1,0,33590,1,1,2,0.0,9,0,0,0,55,True,0,3,1
George Hirst,FWD,Ipswich Town,,0,0,0,0,0.0,317,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,25160,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Jaden Philogene,MID,Ipswich Town,,0,0,0,0,0.0,318,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,14821,0,1,2,0.0,0,0,0,0,55,True,0,0,1
Sam Szmodics,MID,Ipswich Town,,0,0,0,0,0.0,319,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,1030,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Chuba Akpom,FWD,Ipswich Town,,0,0,3,0,0.0,320,0.00,0.00,0.00,0.03,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,24,FALSE,20,0,0,0,0,1,0,47871,0,1,2,0.0,1,0,0,0,50,True,0,3,1
Sindre Walle Egeli,FWD,Ipswich Town,,0,0,3,0,0.0,321,0.00,0.00,0.00,0.03,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,10,FALSE,20,0,0,0,0,1,0,199675,0,1,2,0.0,1,0,0,0,45,True,0,0,1
Ali Al-Hamadi,FWD,Ipswich Town,,0,0,0,0,0.0,322,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,13332,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Kasey McAteer,MID,Ipswich Town,,0,0,4,0,0.0,323,0.00,0.00,0.00,0.03,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,24,FALSE,20,0,0,0,0,1,0,130440,0,1,2,0.0,1,0,0,0,45,True,0,3,1
Anis Mehmeti,MID,Ipswich Town,,0,0,0,0,0.0,324,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,4850,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Kayne van Oevelen,GK,Ipswich Town,,0,0,0,0,0.0,554,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,3509,0,1,2,0.0,0,0,0,0,45,True,0,0,1
Daizen Maeda,MID,Ipswich Town,,0,0,7,0,0.0,562,0.00,0.61,0.61,0.63,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,79,FALSE,20,0,0,0,0,1,0,37656,1,1,2,0.0,2,0,0,0,55,True,0,9,1
Kjell Scherpen,GK,Ipswich Town,,0,0,12,0,0.0,564,0.00,0.00,0.00,0.66,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,20,0,0,0,0,1,2,57252,1,1,2,0.0,2,0,0,0,45,True,0,0,1
Florentino Ibrain Morris Luís,MID,Ipswich Town,,0,0,0,0,0.0,571,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,12850,0,1,2,0.0,0,0,0,0,50,True,0,0,1
Julio Enciso,MID,Ipswich Town,,1,0,24,0,0.0,591,0.31,0.54,0.23,0.63,5,1,0,0.0,0.0,2026-08-22T14:00:00Z,70,FALSE,20,0,0,0,0,1,0,24595,1,1,2,0.0,5,0,0,0,55,True,0,8,1
Abdoul Ouattara,DEF,Ipswich Town,,0,0,4,0,0.0,592,0.00,0.00,0.00,0.03,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,10,FALSE,20,0,0,0,0,1,0,86218,0,1,2,0.0,1,0,0,0,40,True,0,2,1
Cameron Humphreys,MID,Ipswich Town,,0,0,0,0,0.0,602,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,20,0,0,0,0,1,0,0,0,1,2,0.0,0,0,0,0,45,True,0,0,1
Harry Wilson,MID,Leeds,,0,0,8,1,0.0,260,0.02,0.02,0.00,0.53,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,65,FALSE,18,0,0,0,0,1,0,577649,1,1,0,0.0,3,0,0,0,65,False,0,2,1
Lucas Estella Perri,GK,Leeds,,0,0,0,0,0.0,326,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,18,0,0,0,0,1,0,52897,0,1,0,0.0,0,0,0,0,45,False,0,0,1
Jaka Bijol,DEF,Leeds,,0,2,28,1,0.0,327,0.00,0.11,0.11,0.66,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,18,0,0,0,0,1,0,27043,1,1,0,0.0,10,0,0,0,50,False,0,12,1
Joe Rodon,DEF,Leeds,,0,0,21,1,0.0,329,0.06,0.09,0.03,0.66,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,18,0,0,0,0,1,0,330772,1,1,0,0.0,6,0,0,0,45,False,0,7,1
Jayden Bogle,DEF,Leeds,,0,0,24,1,0.0,330,0.00,0.00,0.00,0.66,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,18,0,0,0,0,1,0,45674,1,1,0,0.0,6,0,0,0,45,False,0,3,1
Gabriel Gudmundsson,DEF,Leeds,,0,0,0,0,0.0,331,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,FALSE,18,0,0,0,0,1,0,5099,0,1,0,0.0,0,0,0,0,45,False,0,0,1
James Justin,DEF,Leeds,,0,2,28,1,0.0,332,0.01,0.01,0.00,0.66,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,90,FALSE,18,0,0,0,0,1,0,52732,1,1,0,0.0,10,0,0,0,45,False,0,12,1
