age,assists,assists_per90,cards_red,cards_yellow,cards_yellow_red,crosses,fbref_id,fouled,fouls,games,games_complete,games_starts,games_subs,goals,goals_assists,goals_assists_pens_per90,goals_assists_per90,goals_pens,goals_pens_per90,goals_per90,goals_per_shot,goals_per_shot_on_target,interceptions,minutes,minutes_90s,minutes_pct,minutes_per_game,minutes_per_start,minutes_per_sub,name,nationality,offsides,on_goals_against,on_goals_for,own_goals,pens_att,pens_conceded,pens_made,pens_won,plus_minus,plus_minus_per90,plus_minus_wowy,points_per_game,position,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,tackles_won,team,unused_subs,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins
"29-250","0","0.00","0","0","0","4","66b76d44","3","2","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","175","1.9","97.2","88","88","0.00","Emi Buendía","ar ARG","1","5","0","0","0","0.00","0","0.00","-5","-2.57","-2.57","0.00","MF,FW","4","0","0.0","0.00","2.06","0","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"24-175","0","0.00","0","1","0","1","cab9634e","0","5","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","3","171","1.9","95.0","86","86","0.00","Ian Maatsen","nl NED","0","5","0","0","0","0.00","0","0.00","-5","-2.63","-2.63","0.00","DF","3","0","0.0","0.00","1.58","1","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"31-318","0","0.00","0","2","0","6","90f91999","6","4","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","171","1.9","95.0","86","86","0.00","John McGinn","sct SCO","0","5","0","0","0","0.00","0","0.00","-5","-2.63","-2.63","0.00","MF","3","0","0.0","0.00","1.58","1","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"29-025","0","0.00","0","1","0","0","2389cdc2","4","4","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","167","1.9","92.8","84","84","0.00","Matty Cash","pl POL","0","5","0","0","0","0.00","0","0.00","-5","-2.69","-2.69","0.00","DF","1","0","0.0","0.00","0.54","5","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"29-228","0","0.00","0","0","0","1","532e1e4f","0","2","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","163","1.8","90.6","82","82","0.00","Pau Torres","es ESP","0","5","0","0","0","0.00","0","0.00","-5","-2.76","-2.76","0.00","DF","0","0","0.00","0.00","0.00","0","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"32-270","0","0.00","0","0","0","0","3a24769f","3","0","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","150","1.7","83.3","75","75","0.00","Ross Barkley","eng ENG","0","5","0","0","0","0.00","0","0.00","-5","-3.00","-3.00","0.00","MF","2","0","0.0","0.00","1.20","3","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"35-175","0","0.00","0","0","0","0","3d214e5f","0","0","1","1","1","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","90","1.0","50.0","90","90","0.00","Marco Bizot","nl NED","0","4","0","0","0","0.00","0","0.00","-4","-4.00","-3.00","0.00","GK","0","0","0.00","0.00","0.00","0","Aston Villa","1","0","0.0","1","1","4","4.00","1","90","0","0","0","0.00","0","42.9","3","7","0","0"
"24-011","0","0.00","0","0","0","0","51e1f4f5","0","0","1","1","1","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","90","1.0","50.0","90","90","0.00","Zion Suzuki","jp JPN","0","1","0","0","0","0.00","0","0.00","-1","-1.00","+3.00","0.00","GK","0","0","0.00","0.00","0.00","0","Aston Villa","1","0","0.0","1","1","1","1.00","1","90","0","0","0","0.00","0","50.0","1","2","0","0"
"25-073","0","0.00","0","0","0","1","9c36ed83","0","0","1","0","1","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","70","0.8","38.9","70","70","0.00","Nicolas Jackson","sn SEN","0","1","0","0","0","0.00","0","0.00","-1","-1.29","+1.99","0.00","FW","0","0","0.00","0.00","0.00","0","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"25-201","0","0.00","1","1","0","0","8b57ad2c","1","1","1","0","1","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","39","0.4","21.7","39","39","0.00","João Gomes","br BRA","0","4","0","0","0","0.00","0","0.00","-4","-9.23","-8.59","0.00","MF","0","0","0.00","0.00","0.00","2","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"20-119","0","0.00","0","1","0","0","99b63a82","0","0","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","29","0.3","16.1","15","0.00","15","Alysson","br BRA","0","0","0","0","0","0.00","0","0.00","0","0.00","+2.98","0.00","MF","0","0","0.00","0.00","0.00","2","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"28-334","0","0.00","0","0","0","0","f586779e","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","20","0.2","11.1","20","0.00","20","Tammy Abraham","eng ENG","0","0","0","0","0","0.00","0","0.00","0","0.00","+2.81","0.00","FW","0","0","0.00","0.00","0.00","0","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"22-062","0","0.00","0","0","0","0","7aa8adfe","0","0","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","18","0.2","10.0","9","0.00","9","Alejandro Garnacho","ar ARG","1","0","0","0","0","0.00","0","0.00","0","0.00","+2.78","0.00","MF","0","0","0.00","0.00","0.00","0","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"22-239","0","0.00","0","0","0","0","bca5c4a7","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","17","0.2","9.4","17","0.00","17","Lamare Bogarde","nl NED","0","0","0","0","0","0.00","0","0.00","0","0.00","+2.76","0.00","DF,MF","0","0","0.00","0.00","0.00","0","Aston Villa","1","","","","","","","","","","","","","","","","","",""
"33-172","0","0.00","0","0","0","0","8397a50c","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","17","0.2","9.4","17","0.00","17","Tyrone Mings","eng ENG","0","0","0","0","0","0.00","0","0.00","0","0.00","+2.76","0.00","DF","0","0","0.00","0.00","0.00","1","Aston Villa","1","","","","","","","","","","","","","","","","","",""
"28-279","0","0.00","0","0","0","0","9e525177","0","1","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","13","0.1","7.2","13","0.00","13","Aaron Wan-Bissaka","cd COD","0","0","0","0","0","0.00","0","0.00","0","0.00","+2.69","0.00","DF,MF","0","0","0.00","0.00","0.00","1","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"24-052","0","0.00","0","0","0","0","ae9898c5","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","9","0.1","5.0","9","0.00","9","Matteo Ruggeri","it ITA","0","0","0","0","0","0.00","0","0.00","0","0.00","+2.63","0.00","DF,MF","0","0","0.00","0.00","0.00","0","Aston Villa","1","","","","","","","","","","","","","","","","","",""
"18-181","0.00","0.00","0.00","0.00","","","802ee5ca","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Bradley Burrowes","eng ENG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","MF","","","","","","","Aston Villa","1","","","","","","","","","","","","","","","","","",""
"19-233","0.00","0.00","0.00","0.00","","","34a7127c","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Luka Lynch","eng ENG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","FW","","","","","","","Aston Villa","2","","","","","","","","","","","","","","","","","",""
"20-106","0.00","0.00","0.00","0.00","","","3fcc22d5","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Triston Rowe","eng ENG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","DF","","","","","","","Aston Villa","1","","","","","","","","","","","","","","","","","",""
"33-334","0","0.00","0","1","0","0","7a2e46a8","0","1","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","Alisson","br BRA","0","4","4","0","0","0.00","0","0.00","0","0.00","0.00","1.00","GK","0","0","0.00","0.00","0.00","0","Liverpool","0","0","0.0","2","2","4","2.00","0","180","1","1","0","0.0","0","50.0","4","8","2","0"
"26-345","0","0.00","0","0","0","0","8e92be30","2","1","2","2","2","0","1","1","0.50","0.50","1","0.50","0.50","0.14","0.33","0","180","2.0","100.0","90","90","0.00","Alexander Isak","se SWE","1","4","4","0","0","0.00","0","0.00","0","0.00","0.00","1.00","FW","7","3","42.9","1.50","3.50","0","Liverpool","0","","","","","","","","","","","","","","","","","",""
"25-311","0","0.00","0","0","0","20","934e1968","2","3","2","2","2","0","1","1","0.00","0.50","0","0.00","0.50","0.17","1.00","2","180","2.0","100.0","90","90","0.00","Dominik Szoboszlai","hu HUN","0","4","4","0","1","0.00","1","0.00","0","0.00","0.00","1.00","MF","6","1","16.7","0.50","3.00","3","Liverpool","0","","","","","","","","","","","","","","","","","",""
"35-055","0","0.00","0","1","0","0","e06683ca","0","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","180","2.0","100.0","90","90","0.00","Virgil van Dijk","nl NED","0","4","4","0","0","0.00","0","0.00","0","0.00","0.00","1.00","DF","2","1","50.0","0.50","1.00","1","Liverpool","0","","","","","","","","","","","","","","","","","",""
"25-265","0","0.00","0","1","0","9","74f2e748","1","2","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","160","1.8","88.9","80","80","0.00","Jeremie Frimpong","nl NED","1","4","3","0","0","0.00","0","0.00","-1","-0.56","-5.06","1.00","DF","1","0","0.0","0.00","0.56","1","Liverpool","0","","","","","","","","","","","","","","","","","",""
"27-117","1","0.56","0","0","0","8","1971591f","3","4","2","1","2","0","1","2","1.13","1.13","1","0.56","0.56","0.17","1.00","4","160","1.8","88.9","80","80","0.00","Cody Gakpo","nl NED","2","4","3","0","0","0.00","0","0.00","-1","-0.56","-5.06","1.00","MF","6","1","16.7","0.56","3.38","3","Liverpool","0","","","","","","","","","","","","","","","","","",""
"22-298","0","0.00","0","1","0","4","0ad53bdc","2","3","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","160","1.8","88.9","80","80","0.00","Milos Kerkez","hu HUN","0","4","3","0","0","0.00","0","0.00","-1","-0.56","-5.06","1.00","DF","2","1","50.0","0.56","1.13","2","Liverpool","0","","","","","","","","","","","","","","","","","",""
"23-121","1","0.59","0","1","0","2","e7fcf289","1","1","2","1","2","0","0","1","0.59","0.59","0","0.00","0.00","0.00","0.00","0","152","1.7","84.4","76","76","0.00","Florian Wirtz","de GER","0","4","3","0","0","0.00","0","0.00","-1","-0.59","-3.81","1.00","MF","5","2","40.0","1.18","2.96","2","Liverpool","0","","","","","","","","","","","","","","","","","",""
"21-050","0","0.00","0","0","0","0","cef70c94","3","1","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","4","145","1.6","80.6","73","73","0.00","Jérémy Jacquet","fr FRA","0","4","2","0","0","0.00","0","0.00","-2","-1.24","-6.38","1.00","DF","0","0","0.00","0.00","0.00","2","Liverpool","0","","","","","","","","","","","","","","","","","",""
"23-050","0","0.00","0","1","0","8","f8b5680f","4","4","2","1","1","1","1","1","0.76","0.76","1","0.76","0.76","0.17","1.00","3","118","1.3","65.6","59","90","28","Víctor Muñoz","es ESP","0","2","3","0","0","0.00","0","0.00","+1","+0.76","+2.21","1.00","MF","6","1","16.7","0.76","4.58","0","Liverpool","0","","","","","","","","","","","","","","","","","",""
"27-251","0","0.00","0","0","0","0","83d074ff","3","3","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","104","1.2","57.8","52","76","28","Alexis Mac Allister","ar ARG","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.00","MF","0","0","0.00","0.00","0.00","2","Liverpool","0","","","","","","","","","","","","","","","","","",""
"24-108","1","0.93","0","0","0","0","b8e740fb","4","1","2","0","1","1","0","1","0.93","0.93","0","0.00","0.00","0.00","0.00","2","97","1.1","53.9","49","77","20","Ryan Gravenberch","nl NED","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.00","MF","2","0","0.0","0.00","1.86","1","Liverpool","0","","","","","","","","","","","","","","","","","",""
"18-003","0","0.00","0","0","0","5","022eca88","1","1","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","82","0.9","45.6","41","62","20","Rio Ngumoha","eng ENG","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.00","MF","1","0","0.0","0.00","1.10","1","Liverpool","0","","","","","","","","","","","","","","","","","",""
"27-178","0","0.00","0","1","0","0","2bef2bca","0","2","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","35","0.4","19.4","18","0.00","18","Ronald Araújo","uy URU","0","0","2","0","0","0.00","0","0.00","+2","+5.14","+6.38","1.00","DF","0","0","0.00","0.00","0.00","0","Liverpool","0","","","","","","","","","","","","","","","","","",""
"30-112","0","0.00","0","0","0","1","f315ca93","0","1","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","20","0.2","11.1","20","0.00","20","Kostas Tsimikas","gr GRE","0","0","1","0","0","0.00","0","0.00","+1","+4.50","+5.06","1.00","DF","1","1","100.0","4.50","4.50","0","Liverpool","1","","","","","","","","","","","","","","","","","",""
"19-063","0","0.00","0","0","0","0","1d3b3d77","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","14","0.2","7.8","14","0.00","14","Trey Nyoni","eng ENG","0","0","1","0","0","0.00","0","0.00","+1","+6.43","+6.97","1.00","MF","0","0","0.00","0.00","0.00","0","Liverpool","1","","","","","","","","","","","","","","","","","",""
"20-347","0","0.00","0","0","0","0","d77edba6","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","13","0.1","7.2","13","0.00","13","Lewis Koumas","wls WAL","0","0","1","0","0","0.00","0","0.00","+1","+6.92","+7.46","1.00","MF","1","0","0.0","0.00","6.92","0","Liverpool","1","","","","","","","","","","","","","","","","","",""
"33-204","0.00","0.00","0.00","0.00","","","c149016b","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Wataru Endo","jp JPN","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","DF,MF","","","","","","","Liverpool","2","","","","","","","","","","","","","","","","","",""
"25-337","0.00","0.00","0.00","0.00","","","d4b73232","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Giorgi Mamardashvili","ge GEO","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","GK","","","","","","","Liverpool","2","","","","","","","","","","","","","","","","","",""
"21-353","0.00","0.00","0.00","0.00","","","bf973eeb","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","James McConnell","eng ENG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","MF","","","","","","","Liverpool","2","","","","","","","","","","","","","","","","","",""
"24-234","0","0.00","0","0","0","0","69942fb3","1","3","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","3","180","2.0","100.0","90","90","0.00","James Hill","eng ENG","1","3","2","0","0","0.00","0","0.00","-1","-0.50","0.00","0.50","DF","0","0","0.00","0.00","0.00","2","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"26-328","0","0.00","0","0","0","0","0cf321c8","0","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","Đorđe Petrović","rs SRB","0","3","2","0","0","0.00","0","0.00","-1","-0.50","0.00","0.50","GK","0","0","0.00","0.00","0.00","0","Bournemouth","0","0","0.0","2","2","3","1.50","1","180","0","0","0","0.00","0","75.0","9","12","1","0"
"22-306","0","0.00","0","1","0","0","8f0435c7","0","1","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","180","2.0","100.0","90","90","0.00","António Silva","pt POR","0","3","2","0","0","0.00","0","0.00","-1","-0.50","0.00","0.50","DF","1","0","0.0","0.00","0.50","2","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"35-125","0","0.00","0","1","0","2","20b104bc","3","2","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","3","180","2.0","100.0","90","90","0.00","Adam Smith","eng ENG","0","3","2","0","0","0.00","0","0.00","-1","-0.50","0.00","0.50","DF","0","0","0.00","0.00","0.00","1","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"27-163","0","0.00","0","1","0","11","5c0da4a4","4","1","2","2","2","0","1","1","0.50","0.50","1","0.50","0.50","0.25","1.00","0","180","2.0","100.0","90","90","0.00","Marcus Tavernier","eng ENG","0","3","2","0","0","0.00","0","0.00","-1","-0.50","0.00","0.50","MF","4","1","25.0","0.50","2.00","3","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"24-285","0","0.00","0","0","0","5","5d0e0a1f","2","4","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","180","2.0","100.0","90","90","0.00","Adrien Truffert","fr FRA","0","3","2","0","0","0.00","0","0.00","-1","-0.50","0.00","0.50","DF","0","0","0.00","0.00","0.00","1","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"20-029","0","0.00","0","0","0","0","288647fc","0","0","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","178","2.0","98.9","89","89","0.00","Rayan","br BRA","0","2","2","0","0","0.00","0","0.00","0","0.00","+45.00","0.50","MF","6","3","50.0","1.52","3.03","0","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"23-011","0","0.00","0","1","0","8","104d0bb8","4","2","2","1","2","0","1","1","0.51","0.51","1","0.51","0.51","0.50","1.00","2","176","2.0","97.8","88","88","0.00","Alex Scott","eng ENG","0","2","2","0","0","0.00","0","0.00","0","0.00","+22.50","0.50","MF","2","1","50.0","0.51","1.02","4","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"26-330","2","1.17","0","1","0","0","6f3cc2fe","5","5","2","0","2","0","0","2","1.17","1.17","0","0.00","0.00","0.00","0.00","3","154","1.7","85.6","77","77","0.00","Evanilson","br BRA","0","0","2","0","0","0.00","0","0.00","+2","+1.17","+11.55","0.50","FW","3","0","0.0","0.00","1.75","0","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"27-119","0","0.00","0","0","0","3","4c3a6744","2","2","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","154","1.7","85.6","77","77","0.00","Justin Kluivert","nl NED","0","0","2","0","0","0.00","0","0.00","+2","+1.17","+11.55","0.50","MF","5","3","60.0","1.75","2.92","2","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"29-210","0","0.00","0","0","0","0","2afc7272","0","0","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","142","1.6","78.9","71","71","0.00","Lewis Cook","eng ENG","0","0","2","0","0","0.00","0","0.00","+2","+1.27","+8.37","0.50","MF","0","0","0.00","0.00","0.00","0","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"27-199","0","0.00","0","0","0","0","2b09d998","0","0","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","38","0.4","21.1","19","0.00","19","Tyler Adams","us USA","0","3","0","0","0","0.00","0","0.00","-3","-7.11","-8.37","0.50","MF","0","0","0.00","0.00","0.00","0","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"23-019","0","0.00","0","0","0","0","03edb878","1","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","16","0.2","8.9","16","0.00","16","Daniel Jebbison","ca CAN","0","2","0","0","0","0.00","0","0.00","-2","-11.25","-11.80","0.00","FW","1","1","100.0","5.63","5.63","0","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"20-313","0","0.00","0","0","0","0","5e18c6f4","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","16","0.2","8.9","16","0.00","16","Alex Tóth","hu HUN","0","2","0","0","0","0.00","0","0.00","-2","-11.25","-11.80","0.00","MF","0","0","0.00","0.00","0.00","1","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"29-055","0","0.00","0","0","0","0","dc4cae05","1","1","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","10","0.1","5.6","10","0.00","10","David Brooks","wls WAL","0","1","0","0","0","0.00","0","0.00","-1","-9.00","-9.00","1.00","FW,MF","0","0","0.00","0.00","0.00","0","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"22-049","0","0.00","0","0","0","0","49a6ecbb","1","1","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","10","0.1","5.6","10","0.00","10","Álvaro Rodríguez","uy URU","0","1","0","0","0","0.00","0","0.00","-1","-9.00","-9.00","1.00","FW","0","0","0.00","0.00","0.00","0","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"31-191","0","0.00","0","0","0","0","26ce2263","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","4","0.0","2.2","4","0.00","4","Ryan Christie","sct SCO","0","1","0","0","0","0.00","0","0.00","-1","-22.50","-22.50","1.00","FW,MF","0","0","0.00","0.00","0.00","1","Bournemouth","0","","","","","","","","","","","","","","","","","",""
"20-294","0","0.00","0","0","0","1","733f1a7d","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","2","0.0","1.1","2","0.00","2","Ben Gannon-Doak","sct SCO","0","1","0","0","0","0.00","0","0.00","-1","-45.00","-45.00","0.00","MF","0","0","0.00","0.00","0.00","0","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"26-053","0.00","0.00","0.00","0.00","","","d8edc4be","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Will Dennis","eng ENG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","GK","","","","","","","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"29-036","0.00","0.00","0.00","0.00","","","4e0c8d66","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Michele Di Gregorio","it ITA","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","GK","","","","","","","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"25-238","0.00","0.00","0.00","0.00","","","1bfb6fef","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Bafodé Diakité","fr FRA","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","DF","","","","","","","Bournemouth","2","","","","","","","","","","","","","","","","","",""
"23-017","0.00","0.00","0.00","0.00","","","cc6de655","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Juanlu Sánchez","es ESP","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","DF,MF","","","","","","","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"21-197","0.00","0.00","0.00","0.00","","","98c8559a","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Julio Soler","ar ARG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","DF","","","","","","","Bournemouth","1","","","","","","","","","","","","","","","","","",""
"26-344","0","0.00","0","1","0","0","38f300f3","2","3","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","180","2.0","100.0","90","90","0.00","Daniel Ballard","nir NIR","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.50","DF","1","0","0.0","0.00","0.50","1","Sunderland","0","","","","","","","","","","","","","","","","","",""
"32-223","0","0.00","0","0","0","3","c20bdcd7","2","5","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","4","180","2.0","100.0","90","90","0.00","Reinildo Mandava","mz MOZ","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.50","DF","0","0","0.00","0.00","0.00","2","Sunderland","0","","","","","","","","","","","","","","","","","",""
"34-354","0","0.00","0","0","0","7","e162b013","0","1","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","3","180","2.0","100.0","90","90","0.00","Thomas Meunier","be BEL","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.50","DF","3","2","66.7","1.00","1.50","1","Sunderland","0","","","","","","","","","","","","","","","","","",""
"23-227","0","0.00","0","0","0","0","349fa918","1","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","Robin Roefs","nl NED","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.50","GK","0","0","0.00","0.00","0.00","0","Sunderland","0","1","50.0","2","2","2","1.00","1","180","0","0","0","0.00","0","33.3","1","3","0","1"
"21-258","0","0.00","0","0","0","2","645481cc","4","1","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","180","2.0","100.0","90","90","0.00","Noah Sadiki","cd COD","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.50","MF","2","1","50.0","0.50","1.00","3","Sunderland","0","","","","","","","","","","","","","","","","","",""
"33-339","0","0.00","0","0","0","11","e61b8aee","7","1","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","180","2.0","100.0","90","90","0.00","Granit Xhaka","ch SUI","0","2","2","0","0","0.00","0","0.00","0","0.00","0.00","1.50","MF","0","0","0.00","0.00","0.00","1","Sunderland","0","","","","","","","","","","","","","","","","","",""
"24-167","0","0.00","0","0","0","4","4fa3a3a4","0","3","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","169","1.9","93.9","85","85","0.00","Trai Hume","nir NIR","0","1","2","0","0","0.00","0","0.00","+1","+0.53","+8.71","1.50","MF","2","0","0.0","0.00","1.07","4","Sunderland","0","","","","","","","","","","","","","","","","","",""
"26-210","0","0.00","0","0","0","4","6f806d99","3","1","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","168","1.9","93.3","84","84","0.00","Enzo Le Fée","fr FRA","1","1","2","0","0","0.00","0","0.00","+1","+0.54","+8.04","1.50","MF","4","1","25.0","0.54","2.14","2","Sunderland","0","","","","","","","","","","","","","","","","","",""
"24-212","0","0.00","0","0","0","0","4c184730","1","3","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","129","1.4","71.7","65","65","0.00","Brian Brobbey","nl NED","3","1","1","0","0","0.00","0","0.00","0","0.00","0.00","1.50","FW","3","1","33.3","0.70","2.09","0","Sunderland","0","","","","","","","","","","","","","","","","","",""
